,code,Area,Pct_Remain,Pct_Leave,Region,ResidentAge30to44share,ResidentAge45to59share,ResidentAge60plusshare,median_hourly_pay2005,median_hourly_pay_growth,umemployment_rate_aps,EU_2001Migrantshare,NONEU_2001Migrantshare,Leave?,Result
187,E07000165,Harrogate,50.97,49.03,Yorkshire and The Humber,0.22732198551567373,0.20078500819368822,0.2275400433472538,11.03,0.1613780598368088,2.4,0.015277263836760585,0.04295078500819369,0,remain
188,E07000166,Richmondshire,43.22,56.78,Yorkshire and The Humber,0.2185067007019783,0.18985322271857052,0.20406296532652626,8.93,0.32922732362821944,5.8,0.028270580727504786,0.02875983833226973,1,leave
189,E07000167,Ryedale,44.74,55.26,Yorkshire and The Humber,0.20174162604183046,0.21935445824815222,0.2668658594118572,8.44,0.2476303317535545,6.1,0.009258531215599938,0.015588142789746816,1,leave
190,E07000168,Scarborough,38.01,61.99,Yorkshire and The Humber,0.1929727134964186,0.21067740933520326,0.2753216682510848,8.67,0.3414071510957325,8.1,0.008640569261033668,0.018297676082188945,1,leave
191,E07000169,Selby,40.83,59.17,Yorkshire and The Humber,0.23770727624627294,0.21401108960610973,0.19612125333472824,11.19,0.20911528150134048,2.9,0.007101009572631689,0.011978866977036146,1,leave
192,E07000170,Ashfield,30.16,69.84,East Midlands,0.23075403772433048,0.19801233537127313,0.2087227414330218,9.17,0.19411123227917115,4.1,0.004309300008079937,0.00946250460107553,1,leave
193,E07000171,Bassetlaw,32.17,67.83,East Midlands,0.22725204942764568,0.20748656151068115,0.21581424711966057,9.74,0.23305954825462008,3.4,0.007724230130067866,0.014455079702542869,1,leave
194,E07000172,Broxtowe,45.35,54.65,East Midlands,0.2310960304917728,0.20340243562331506,0.21565492237612718,11.23,0.2858414959928761,3.4,0.011638932787952031,0.03902575067397973,1,leave
195,E07000173,Gedling,44.45,55.55,East Midlands,0.22792453505327095,0.20899567928292198,0.22154633365239249,10.85,0.19170506912442398,7.5,0.008874019340352635,0.02712301072575523,1,leave
196,E07000174,Mansfield,29.14,70.86,East Midlands,0.22668337050956905,0.19371365131746468,0.21438974954420917,9.19,0.13710554951033732,5.3,0.005815789205650788,0.016581619661645328,1,leave
197,E07000175,Newark and Sherwood,39.61,60.39,East Midlands,0.22039464398294958,0.2083596021567096,0.22737666199316853,10.37,0.1716489874638381,9.5,0.00787594214899363,0.016749315442304253,1,leave
198,E07000176,Rushcliffe,57.55,42.45,East Midlands,0.23295675148438905,0.20789969601984867,0.21076904137349786,14.69,0.13274336283185847,3.5,0.011108059735414162,0.03517078760215532,0,remain
199,E07000177,Cherwell,49.69,50.31,South East,0.25328375763554273,0.1884281215616345,0.178464923929127,10.58,0.30812854442344045,2.2,0.015168645900519785,0.04716014720946997,1,leave
200,E07000178,Oxford,70.27,29.73,South East,0.20888206900661463,0.1426538942852035,0.1657007925630177,11.12,0.3246402877697843,6.2,0.0401421250223467,0.1381547583576664,0,remain
